"Table with fips codes in column A and area names in column B, column headers in rows 12 through 13.  United States in row 15, regions start in row 17, state totals start in row 24, county by state start in row 78, minor civil divisions by new england start start in row 3239, and metropolitan areas start in row 4823.",,,,,,
" Census 2000 PHC-T-22.  Migration for the Population 5 Years and Over for the United States, Regions, States, Counties, New England Minor Civil Divisions, Metropolitan Areas, and Puerto Rico: 2000 ",,,,,,
"Table 1.  Gross Migration for the Population 5 Years and Over for the United States, Regions, States, Counties, New England Minor Civil Divisions, and Metropolitan Areas:  2000",,,,,,
,,,,,,
" Source:  U. S. Census Bureau, Census 2000, special tabulation. ",,,,,,
" Internet release date:  August 6, 2003 ",,,,,,
" [Data based on a sample. For information on confidentiality protection, sampling error, nonsampling error, and definitions, see http://www.census.gov/prod/cen2000/doc/sf3.pdf] ",,,,,,
 (X) Not applicable ,,,,,,
"1/ This category includes movers from foreign countries, as well as movers from Puerto Rico, U.S. Island Areas, and U.S. minor outlying islands.",,,,,,
"2/ Most independent cities in Virginia were combined with an adjacent or surrounding county.  Exceptions were the independent cities of Colonial Heights, Hampton, Newport News, Suffolk, and Virginia Beach.  See endnote for complete list of county/city combinations.",,,,,,
 - Represents or rounds to zero ,,,,,,
 FIPS Code	,Geographic Area of Residence in 2000, Population 5 years and over , Same residence (nonmovers) , Different residence 5 years ago ,,
,,,, Total movers , Different residence in same geographic area ,From abroad1/

 X ,  United States," 262,375,152 "," 142,027,478 "," 120,347,674 ", X ,"7,495,846 "

Region,,,,,,

 X ,Northeast ," 50,224,209 "," 30,598,767 "," 19,625,442 "," 16,520,818 "," 1,567,331 "
 X ,Midwest," 60,054,144 "," 33,804,543 "," 26,249,601 "," 22,782,153 "," 1,057,870 "
 X ,South," 93,431,879 "," 49,013,517 "," 44,418,362 "," 36,760,630 "," 2,615,279 "
 X ,West ," 58,664,920 "," 28,610,651 "," 30,054,269 "," 25,132,854 "," 2,255,366 "
,,,,,,
State,,,,,,
,,,,,,
 01 ,Alabama," 4,152,278 "," 2,384,847 "," 1,767,431 "," 1,392,507 "," 48,712 "
 02 ,Alaska," 579,740 "," 267,958 "," 311,782 "," 203,656 "," 12,564 "
 04 ,Arizona," 4,752,724 "," 2,103,907 "," 2,648,817 "," 1,669,415 "," 182,982 "
 05 ,Arkansas," 2,492,205 "," 1,327,374 "," 1,164,831 "," 879,074 "," 33,657 "
 06 ,California," 31,416,629 "," 15,757,539 "," 15,659,090 "," 12,802,468 "," 1,407,658 "
 08 ,Colorado," 4,006,285 "," 1,768,678 "," 2,237,607 "," 1,459,072 "," 134,715 "
 09 ,Connecticut," 3,184,514 "," 1,852,990 "," 1,331,524 "," 966,896 "," 103,805 "
 10 ,Delaware," 732,378 "," 409,776 "," 322,602 "," 203,833 "," 17,308 "
 11 ,District of Columbia," 539,658 "," 269,299 "," 270,359 "," 126,931 "," 30,399 "
 12 ,Florida," 15,043,603 "," 7,352,091 "," 7,691,512 "," 5,178,134 "," 652,606 "
 13 ,Georgia," 7,594,476 "," 3,735,653 "," 3,858,823 "," 2,649,844 "," 243,421 "
 15 ,Hawaii," 1,134,351 "," 643,806 "," 490,545 "," 318,634 "," 46,751 "
 16 ,Idaho," 1,196,793 "," 593,848 "," 602,945 "," 399,050 "," 20,966 "
 17 ,Illinois," 11,547,505 "," 6,558,427 "," 4,989,078 "," 3,970,125 "," 353,831 "
 18 ,Indiana," 5,657,818 "," 3,110,861 "," 2,546,957 "," 2,020,411 "," 75,149 "
 19 ,Iowa," 2,738,499 "," 1,558,455 "," 1,180,044 "," 927,043 "," 38,160 "
 20 ,Kansas," 2,500,360 "," 1,310,009 "," 1,190,351 "," 862,102 "," 51,463 "
 21 ,Kentucky," 3,776,230 "," 2,112,135 "," 1,664,095 "," 1,299,535 "," 45,981 "
 22 ,Louisiana," 4,153,367 "," 2,452,282 "," 1,701,085 "," 1,405,539 "," 42,026 "
 23 ,Maine," 1,204,164 "," 717,407 "," 486,757 "," 368,245 "," 10,513 "
 24 ,Maryland," 4,945,043 "," 2,752,061 "," 2,192,982 "," 1,550,523 "," 147,307 "
 25 ,Massachusetts," 5,954,249 "," 3,481,597 "," 2,472,652 "," 1,820,081 "," 205,722 "
